CustomerID,Frequency,MonetaryValue,AverageOrderValue,TotalQuantity,ProductDiversity,RecencyDays,PrimaryCountry,IsUK,RepeatProbability,ConditionalFutureRevenue,PredictedCLV,CLVSegment,Location,BusinessAction
12380,7,6951.49,993.07,2228,119,91,Belgium,0,0.9052584851528545,6968.077491436257,6307.911274325288,Very High,Non-UK,Protect loyalty
12385,1,1938.4,1938.4,612,65,5,Belgium,0,0.7074006894660694,3420.4024657450013,2419.5950625194578,Very High,Non-UK,Protect loyalty
12387,1,143.94,143.94,134,9,41,Australia,0,0.4916939939687473,460.8605727945381,226.6023757000711,Low,Non-UK,Low-cost nurture
12388,2,1120.45,560.225,539,36,71,Australia,0,0.7000676347997807,1843.3464740047168,1290.4672061729975,High,Non-UK,Protect loyalty
12389,3,1433.33,477.7766666666666,614,41,28,Australia,0,0.7995169434811239,2197.519324743537,1756.953933759656,Very High,Non-UK,Protect loyalty
12391,5,2285.18,457.03600000000006,911,159,90,Cyprus,0,0.8478122250190361,2597.684561221607,2202.348727746889,Very High,Non-UK,Protect loyalty
12392,1,234.75000000000003,234.75000000000003,73,7,217,Australia,0,0.2990773461355199,613.7659145783201,183.56348088052425,Low,Non-UK,Low-cost nurture
12393,2,816.85,408.425,495,38,8,Australia,0,0.7453313976482533,1475.1447273758777,1099.4716813885143,High,Non-UK,Protect loyalty
12395,3,1702.54,567.5133333333333,1087,80,32,Belgium,0,0.8210375338306514,2362.2206098526185,1939.471783877331,Very High,Non-UK,Protect loyalty
12396,1,931.43,931.43,591,65,300,RSA,0,0.3645171963465,1468.0958803779413,535.1461942832138,Medium,Non-UK,Win back now
12399,3,853.65,284.55,1020,40,11,Belgium,0,0.8102687161764183,1460.8628734706758,1183.6914849968778,High,Non-UK,Protect loyalty
12400,1,205.25,205.25,91,11,40,Australia,0,0.4958962980032507,602.7743780824712,298.91358262230926,Medium,Non-UK,Low-cost nurture
12402,5,1031.3,206.26,490,40,18,Belgium,0,0.849006000696166,1645.8946585768708,1397.3744416455309,High,Non-UK,Protect loyalty
12403,1,591.6600000000001,591.6600000000001,164,4,147,Denmark,0,0.4210371350474377,1507.2496309049989,634.6080663975487,Medium,Non-UK,Win back now
12404,1,63.24,63.24,1,1,308,Finland,0,0.1109413984175326,212.4383768658436,23.568210607047497,Low,Non-UK,Low-cost nurture
12406,3,2975.06,991.6866666666668,1598,44,25,Denmark,0,0.8389084119470869,4093.1169955315527,3433.7502786350065,Very High,Non-UK,Protect loyalty
12408,3,1452.22,484.07333333333344,820,41,11,Belgium,0,0.8180178965236214,2262.869508305598,1851.0677552915872,Very High,Non-UK,Protect loyalty
12409,4,12346.62,3086.655,7592,125,46,Switzerland,0,0.907696570733099,11838.342112392414,10745.622538583826,Very High,Non-UK,Protect loyalty
12410,1,320.38,320.38,130,14,128,Switzerland,0,0.4314760608229505,799.6408333599337,345.0258768513256,Medium,Non-UK,Low-cost nurture
12411,1,346.9,346.9,138,22,35,Australia,0,0.5483814422913529,874.3749057282091,479.490971906601,Medium,Non-UK,Low-cost nurture
12412,3,1370.05,456.6833333333333,1168,50,28,Denmark,0,0.8150938217704112,2090.7267663849657,1704.1384702904154,Very High,Non-UK,Protect loyalty
12413,1,241.35,241.35,33,13,28,Spain,0,0.4826546473434347,672.1888922545845,324.4350927393105,Medium,Non-UK,Low-cost nurture
12414,3,390.0,130.0,195,9,89,Austria,0,0.654443886455402,822.3126203029774,538.1574671124058,Medium,Non-UK,Low-cost nurture
12415,7,19543.84,2791.977142857143,14073,169,1,Australia,0,0.9572505664596688,17602.44202066336,16849.947595353475,Very High,Non-UK,Protect loyalty
12416,1,202.56,202.56,132,11,282,Australia,0,0.2591672784216,496.2163294290757,128.60303560648967,Low,Non-UK,Low-cost nurture
12417,11,3148.31,286.21,1332,144,36,Belgium,0,0.9369888516780436,3736.7746388934006,3501.316177876363,Very High,Non-UK,Protect loyalty
12418,3,1352.62,450.8733333333334,681,61,39,Switzerland,0,0.7973225176929122,1984.6558699054651,1582.4108149470424,Very High,Non-UK,Protect loyalty
12419,2,503.01,251.505,231,23,11,Spain,0,0.6986241095713455,1026.2471913230895,716.9610302381876,High,Non-UK,Protect loyalty
12421,2,291.56,145.78,168,18,41,Spain,0,0.63650731314408,650.2826148273332,413.9096399480525,Medium,Non-UK,Low-cost nurture
12422,14,4428.24,316.30285714285714,2226,109,20,Switzerland,0,0.9561192349981688,5363.844257923887,5128.474668535508,Very High,Non-UK,Protect loyalty
12423,2,763.08,381.54,454,38,13,Belgium,0,0.7366682970958106,1385.9395751902025,1020.9777467330576,High,Non-UK,Protect loyalty
12424,2,1579.07,789.535,1285,59,48,Australia,0,0.7620993547238111,2396.760723333967,1826.5698006801908,Very High,Non-UK,Protect loyalty
12425,1,964.21,964.21,651,55,74,Portugal,0,0.6139432271804225,1843.058352100192,1131.533192570223,High,Non-UK,Win back now
12426,1,762.48,762.48,326,47,288,Germany,0,0.3448281677355889,1288.52015146344,444.3180429195216,Medium,Non-UK,Win back now
12429,4,2454.01,613.5024999999999,1333,56,67,Denmark,0,0.8370174309606788,3210.492825091936,2687.2384565761445,Very High,Non-UK,Protect loyalty
12431,12,4012.27,334.3558333333333,1704,123,35,Belgium,0,0.9446973104037056,4721.124928124429,4460.034021679036,Very High,Non-UK,Protect loyalty
12433,3,3418.27,1139.4233333333334,2463,120,25,Norway,0,0.8591884061708341,4115.909275994281,3536.3415307852783,Very High,Non-UK,Protect loyalty
12434,1,297.29,297.29,138,20,7,Australia,0,0.5718437894847604,794.1556058895992,454.1329511124744,Medium,Non-UK,Low-cost nurture
12435,4,6096.04,1524.0100000000002,2903,68,22,Denmark,0,0.8911353368524482,7058.439950329166,6290.025262789359,Very High,Non-UK,Protect loyalty
12437,21,7731.99,368.19,5078,216,21,France,0,0.9754896308979798,8351.448077541674,8146.751002624771,Very High,Non-UK,Protect loyalty
12439,2,1142.88,571.44,478,69,308,Cyprus,0,0.4549920830398594,1439.14494245295,654.7995551629464,High,Non-UK,Win back now
12440,2,859.2,429.6,331,21,88,Austria,0,0.6506045450777956,1536.9793752302307,999.9657672156188,High,Non-UK,Win back now
12443,1,485.31,485.31,182,21,358,Norway,0,0.2374259789755296,908.0293480090048,215.58975688954988,Low,Non-UK,Low-cost nurture
12445,1,301.58000000000004,301.58000000000004,144,20,46,Spain,0,0.5306582116889519,780.0866569544513,413.959390341862,Medium,Non-UK,Low-cost nurture
12449,2,768.6,384.3,729,10,36,Denmark,0,0.7106115355988527,1606.392615908209,1141.5211235651907,High,Non-UK,Protect loyalty
12450,3,490.32,163.44000000000003,314,25,25,Spain,0,0.7504786766665887,941.0215875118516,706.216635710587,High,Non-UK,Grow customer value
12451,3,3634.36,1211.4533333333334,2784,147,89,Switzerland,0,0.8269102066474303,4031.32161055197,3333.540986043781,Very High,Non-UK,Protect loyalty
12454,4,13151.44,3287.86,6697,9,21,Spain,0,0.8999574578418931,17193.468503711985,15473.390206085296,Very High,Non-UK,Protect loyalty
12455,4,3413.09,853.2725,1213,121,71,Cyprus,0,0.8471880292397705,3845.133893242317,3257.551405179004,Very High,Non-UK,Protect loyalty
12457,1,632.6800000000001,632.6800000000001,251,22,61,Switzerland,0,0.5631786039134271,1431.4098690434887,806.1394116758134,High,Non-UK,Win back now
12458,2,830.09,415.045,480,44,53,Switzerland,0,0.7070403908081258,1418.042893080775,1002.6136013065164,High,Non-UK,Protect loyalty
12459,1,454.36,454.36,258,23,231,Spain,0,0.3656337032978954,945.15437758985,345.5802952663942,Medium,Non-UK,Low-cost nurture
12460,1,326.65,326.65,170,18,82,Belgium,0,0.4973924499980056,822.8752457479965,409.2919345253069,Medium,Non-UK,Low-cost nurture
12466,1,56.73,56.73,1,1,308,France,0,0.1093516496883423,194.1580606301601,21.2315042301972,Low,Non-UK,Low-cost nurture
12467,1,132.8,132.8,129,9,49,USA,0,0.4783507549395912,427.9422765990224,204.7065110817097,Low,Non-UK,Low-cost nurture
12468,3,2941.2,980.4,1835,102,152,Germany,0,0.7616801855609864,3332.093062125341,2537.989261866105,Very High,Non-UK,Protect loyalty
12469,2,3070.54,1535.27,2552,76,148,Thailand,0,0.717960770911538,3799.2422587997903,2727.70690100759,Very High,Non-UK,Protect loyalty
12470,1,211.95,211.95,95,23,315,Unspecified,0,0.2340652066002795,459.5591251762028,107.56680157941165,Low,Non-UK,Low-cost nurture
12471,49,20129.54,410.8069387755102,8658,159,0,Germany,0,0.9912407141525612,22156.1990297372,21962.126549142984,Very High,Non-UK,Protect loyalty
12472,12,9677.18,806.4316666666667,6230,280,22,Germany,0,0.963685334552966,9238.707728123454,8903.207147813722,Very High,Non-UK,Protect loyalty
12474,13,5048.66,388.3584615384616,3107,197,4,Germany,0,0.9609139214503296,5641.677288320284,5421.166246677107,Very High,Non-UK,Protect loyalty
12475,1,426.26,426.26,236,25,35,Germany,0,0.5772030574249926,1033.2848902728642,596.4151978565452,Medium,Non-UK,Win back now
12476,12,7267.49,605.6241666666666,3223,225,22,Germany,0,0.9578641750267828,7376.719544210061,7065.895380618716,Very High,Non-UK,Protect loyalty
12477,3,7056.63,2352.21,2466,209,25,Germany,0,0.8766108583988913,7071.738186532294,6199.162482068293,Very High,Non-UK,Protect loyalty
12480,3,2183.2200000000003,727.7400000000001,1245,79,25,Germany,0,0.8335598086906972,2936.0876344434714,2447.4046468658216,Very High,Non-UK,Protect loyalty
12481,5,6605.6900000000005,1321.138,3864,133,2,Germany,0,0.921812051360766,7088.2069282592165,6533.994569008222,Very High,Non-UK,Protect loyalty
12482,29,23691.4,816.944827586207,27042,42,202,Sweden,0,0.969057674532372,24056.312668878643,23311.954412727177,Very High,Non-UK,Protect loyalty
12483,11,2612.2000000000003,237.4727272727273,1050,35,4,Sweden,0,0.9354920755711236,3856.911580830505,3608.110220045433,Very High,Non-UK,Protect loyalty
12484,6,1826.78,304.4633333333333,1079,110,109,Spain,0,0.8505491851853815,2228.121438771118,1895.1268742408545,Very High,Non-UK,Protect loyalty
12485,1,708.1,708.1,414,34,155,Sweden,0,0.4883410914457418,1401.7612353721147,684.5376116279499,High,Non-UK,Win back now
12486,1,1037.28,1037.28,523,49,57,Sweden,0,0.625084783821751,2005.0832337748648,1253.3470197287788,High,Non-UK,Win back now
12487,1,285.3,285.3,174,2,356,Sweden,0,0.1984083084170527,739.519186379889,146.72675081158891,Low,Non-UK,Low-cost nurture
12490,11,4405.71,400.5190909090909,2842,117,4,France,0,0.9519859040685624,5269.48601567162,5016.476408605794,Very High,Non-UK,Protect loyalty
12492,1,452.0,452.0,252,22,29,Germany,0,0.5859235436634607,1107.739141690823,649.0504433542075,High,Non-UK,Win back now
12494,2,569.17,284.58500000000004,272,28,37,France,0,0.6858363857351631,1093.051511469332,749.654498048484,High,Non-UK,Protect loyalty
12495,1,357.4,357.4,130,17,266,Sweden,0,0.2964959007263508,769.370585724608,228.1152248067777,Low,Non-UK,Low-cost nurture
12496,2,45.34,22.67,30,10,246,Spain,0,0.2837532855644676,123.59629691557592,35.070855333396146,Low,Non-UK,Low-cost nurture
12497,2,5205.400000000001,2602.7000000000003,4449,30,26,Germany,0,0.8280701563726766,7323.008304305896,6063.964631664992,Very High,Non-UK,Protect loyalty
12499,1,393.72,393.72,302,27,186,Germany,0,0.4166118992553179,854.9429402204113,356.1794020801513,Medium,Non-UK,Low-cost nurture
12500,8,1697.39,212.17375,699,61,61,Germany,0,0.8879527904972472,2342.0160518792977,2079.599688655568,Very High,Non-UK,Protect loyalty
12503,1,1126.0,1126.0,561,2,210,Spain,0,0.4094667164791367,2670.2307966066323,1093.3706365279872,High,Non-UK,Win back now
12504,2,297.0,148.5,368,8,43,Germany,0,0.6478085916720969,730.9116604426555,473.49085338807055,Medium,Non-UK,Low-cost nurture
12505,1,955.2,955.2,324,42,34,Italy,0,0.6275451689965958,1923.9721418141955,1207.3794228795316,High,Non-UK,Win back now
12507,1,539.25,539.25,362,28,210,Spain,0,0.4090199935605455,1090.55327101566,446.05809188825714,Medium,Non-UK,Win back now
12510,7,4195.45,599.35,1696,85,85,Spain,0,0.8949886215794588,4751.48769694607,4252.527424341521,Very High,Non-UK,Protect loyalty
12511,1,3084.02,3084.02,1753,190,54,Greece,0,0.7242107304850146,4356.547180530593,3155.058216004492,Very High,Non-UK,Protect loyalty
12514,1,580.08,580.08,400,33,267,Italy,0,0.3575353659105892,1089.5900875841194,389.5669906569392,Medium,Non-UK,Win back now
12516,2,1336.56,668.28,1077,38,56,Germany,0,0.7398025575036989,2174.285624133831,1608.5420654777345,Very High,Non-UK,Protect loyalty
12519,1,385.7000000000001,385.7000000000001,212,22,102,Germany,0,0.4927880313192556,913.3297450988148,450.0779670325626,Medium,Non-UK,Low-cost nurture
12523,12,2562.58,213.5483333333333,1398,105,0,France,0,0.9471681701988196,3388.5311660398406,3209.508864199629,Very High,Non-UK,Protect loyalty
12524,9,6640.39,737.8211111111111,3479,65,14,Germany,0,0.9437929091615704,7811.569411884768,7372.503820360262,Very High,Non-UK,Protect loyalty
12525,3,973.73,324.57666666666665,509,56,124,France,0,0.7090016878681098,1417.585017575246,1005.0701701573936,High,Non-UK,Protect loyalty
12527,2,386.8,193.4,292,13,120,Germany,0,0.5756162075304171,810.2595506827786,466.3985296793208,Medium,Non-UK,Low-cost nurture
12529,1,316.48,316.48,192,21,154,France,0,0.4232510232567631,745.7813827261499,315.65273336468664,Medium,Non-UK,Low-cost nurture
12530,5,2096.98,419.396,1800,66,41,Germany,0,0.8760647689390834,2820.9203859665545,2471.3089661273398,Very High,Non-UK,Protect loyalty
12531,1,1807.98,1807.98,1074,110,312,Germany,0,0.4052202592916583,2407.095872084602,975.4040134260028,High,Non-UK,Win back now
12533,2,1367.89,683.945,704,63,253,Germany,0,0.5354448008178274,1777.2419001843832,951.6149352493242,High,Non-UK,Win back now
12537,1,732.94,732.94,449,43,34,Sweden,0,0.6294922801641112,1545.7281007421077,973.0239066498904,High,Non-UK,Win back now
12538,1,276.5,276.5,145,13,4,Spain,0,0.5666207461269457,787.1333729459627,446.0060990800608,Medium,Non-UK,Low-cost nurture
12539,3,5646.400000000001,1882.1333333333328,2468,127,76,Spain,0,0.8403332274928528,5980.939309107477,5025.982033061159,Very High,Non-UK,Protect loyalty
12540,16,8854.25,553.390625,4334,171,4,Spain,0,0.970783099844616,9424.958225606131,9149.590162159937,Very High,Non-UK,Protect loyalty
12542,2,481.88,240.94,522,39,110,Spain,0,0.6332227243217641,874.1029897671251,553.501876518138,Medium,Non-UK,Low-cost nurture
12543,1,980.25,980.25,688,43,74,Spain,0,0.6120662547445171,1925.233152955552,1178.3702454394827,High,Non-UK,Win back now
12547,1,175.78,175.78,175,13,126,Spain,0,0.4205712797051386,491.4930578499185,206.70786430613197,Low,Non-UK,Low-cost nurture
12549,6,1575.68,262.61333333333334,1366,38,201,USA,0,0.7787339808000855,2084.864535774704,1623.5548593727572,Very High,Non-UK,Protect loyalty
12553,2,916.47,458.235,360,39,11,France,0,0.7377234369048474,1606.5962813867925,1185.2237304232117,High,Non-UK,Protect loyalty
12554,1,468.5,468.5,240,26,74,Spain,0,0.5389357184296476,1080.0570449269449,582.0813194527052,Medium,Non-UK,Win back now
12555,1,129.23,129.23,1,1,308,Spain,0,0.121972018506838,384.8832428646175,46.94498602165497,Low,Non-UK,Low-cost nurture
12557,3,6105.18,2035.06,1998,15,58,Spain,0,0.8270351982877163,8273.348668235156,6842.350556337276,Very High,Non-UK,Protect loyalty
12562,2,1185.18,592.59,548,33,11,France,0,0.7541844668010006,2046.2705179090988,1543.265439479881,High,Non-UK,Protect loyalty
12563,1,249.24,249.24,113,13,34,Italy,0,0.5205772192369469,701.899453337905,365.3928656025798,Medium,Non-UK,Low-cost nurture
12567,5,2366.2,473.24,1003,86,14,France,0,0.8840131986502032,3058.2654417468334,2703.547015479995,Very High,Non-UK,Protect loyalty
12568,1,70.0,70.0,48,5,270,Germany,0,0.2054519198003279,220.6887612610475,45.34092967943846,Low,Non-UK,Low-cost nurture
12570,1,77.52,77.52,1,1,308,Spain,0,0.1139826389122266,251.5364027555676,28.670782968568265,Low,Non-UK,Low-cost nurture
12573,4,556.87,139.2175,395,83,7,France,0,0.8226982350121139,911.1415738851996,749.5945646815132,High,Non-UK,Grow customer value
12575,2,622.82,311.41,315,34,83,France,0,0.6510146652030173,1114.32848100823,725.4441829897597,High,Non-UK,Win back now
12576,3,826.89,275.63,527,51,18,Poland,0,0.7923065541043609,1359.367894806055,1077.0360924938848,High,Non-UK,Protect loyalty
12577,5,990.5,198.1,722,144,7,France,0,0.8723237445216127,1389.4022987165235,1212.008615863334,High,Non-UK,Protect loyalty
12578,2,1847.94,923.97,1184,53,11,Italy,0,0.7915328250160409,2846.096848648677,2252.779078880139,Very High,Non-UK,Protect loyalty
12580,1,637.2,637.2,331,34,202,Germany,0,0.4242421495461516,1232.0168510470733,522.6734771652913,Medium,Non-UK,Win back now
12582,2,1469.04,734.52,685,79,48,Finland,0,0.7474141412103587,2156.118322256425,1611.5133241772048,Very High,Non-UK,Protect loyalty
12583,12,6310.2,525.85,3475,85,11,France,0,0.95643559989479,7430.508742896951,7106.803087036128,Very High,Non-UK,Protect loyalty
12586,3,1865.73,621.91,608,76,0,Italy,0,0.8311122747296555,2604.5110957845063,2164.641141376089,Very High,Non-UK,Protect loyalty
12588,3,743.88,247.96,385,27,25,Finland,0,0.768408535187583,1325.445525779115,1018.4836549348656,High,Non-UK,Protect loyalty
12589,6,4048.98,674.83,1458,100,47,France,0,0.897875732690757,4627.1242733382405,4154.58259717476,Very High,Non-UK,Protect loyalty
12591,2,886.1,443.05,425,38,16,Italy,0,0.7366247235238712,1565.04200721568,1152.8486358684947,High,Non-UK,Protect loyalty
12592,3,2145.06,715.02,1585,32,145,Germany,0,0.738417904564966,2939.844189507648,2170.8335861637283,Very High,Non-UK,Protect loyalty
12594,5,1751.89,350.37800000000004,991,60,4,Italy,0,0.8809450007513405,2500.6873589340976,2202.9680272950663,Very High,Non-UK,Protect loyalty
12595,1,299.02,299.02,271,19,130,Germany,0,0.4579989147531179,737.4346451480731,337.74426717916805,Medium,Non-UK,Low-cost nurture
12598,3,1511.01,503.67,942,69,89,France,0,0.7717291376447994,2075.135900292312,1601.4428388283504,Very High,Non-UK,Protect loyalty
12599,6,1264.14,210.69000000000003,1233,37,7,France,0,0.8887238985291765,2022.1729509768245,1797.1534284923728,Very High,Non-UK,Protect loyalty
12600,11,2368.38,215.3072727272728,609,32,1,Germany,0,0.9300880952565704,3565.7860388074323,3316.495144926876,Very High,Non-UK,Protect loyalty
12601,1,104.2,104.2,45,6,30,Germany,0,0.4466157486802378,363.76395458340585,162.46271091915185,Low,Non-UK,Low-cost nurture
12605,4,1232.95,308.2375,929,63,2,Germany,0,0.8556959332199534,1861.8131451372767,1593.1459367094185,Very High,Non-UK,Protect loyalty
12606,1,21.0,21.0,1,1,308,Spain,0,0.0958831239150746,85.95345536952668,8.241485812125163,Low,Non-UK,Low-cost nurture
12608,1,415.79,415.79,323,16,30,United Kingdom,1,0.555237966974021,843.072790796986,468.10602237323263,Medium,UK,Low-cost nurture
12609,6,2309.01,384.835,905,84,0,Germany,0,0.9018207275027296,3038.159639682028,2739.875336527478,Very High,Non-UK,Protect loyalty
12613,5,3472.99,694.5980000000001,2513,132,14,Germany,0,0.9049464380086656,4072.09625251678,3685.028998943496,Very High,Non-UK,Protect loyalty
12615,4,3449.79,862.4475,1941,147,39,France,0,0.8743489817074017,3919.298923855079,3426.835023079604,Very High,Non-UK,Protect loyalty
12616,1,417.8,417.8,214,22,14,France,0,0.5936523066505237,1046.4545686378617,621.2301684768453,Medium,Non-UK,Win back now
12619,1,140.14,140.14,140,10,186,Germany,0,0.3376531406680622,397.9235581632712,134.3601391596388,Low,Non-UK,Low-cost nurture
12621,15,10621.53,708.1020000000001,6266,156,2,Germany,0,0.9715351694693992,11109.740662423495,10793.503777228683,Very High,Non-UK,Protect loyalty
12623,6,3442.74,573.7900000000001,1780,109,42,Germany,0,0.9008543300392072,4028.461167106832,3629.056685782988,Very High,Non-UK,Protect loyalty
12625,2,2481.06,1240.5300000000002,1697,85,135,Germany,0,0.7130229527023062,3145.97225008545,2243.1504228754457,Very High,Non-UK,Protect loyalty
12629,2,1558.22,779.11,722,40,11,Sweden,0,0.7714258498897874,2528.1803654737087,1950.3036871102288,Very High,Non-UK,Protect loyalty
12631,5,2841.07,568.214,1371,105,82,Finland,0,0.8598251074619049,3318.095564165096,2852.981875027124,Very High,Non-UK,Protect loyalty
12632,2,804.88,402.44,694,32,146,Germany,0,0.6198123527537146,1341.882807055635,831.7155397609121,High,Non-UK,Win back now
12633,3,3514.18,1171.3933333333332,2076,182,8,Germany,0,0.8694263218535574,4050.8282013001126,3521.8966635170186,Very High,Non-UK,Protect loyalty
12634,2,490.0,245.0,337,20,161,USA,0,0.5518774345964148,912.9371384837276,503.8294059341914,Medium,Non-UK,Low-cost nurture
12635,2,1241.23,620.615,777,77,18,Germany,0,0.7702863921229388,1927.018958068236,1484.3564807628863,High,Non-UK,Protect loyalty
12636,1,141.0,141.0,1,1,364,USA,0,0.0986968010866116,396.0932359002352,39.09313531539786,Low,Non-UK,Low-cost nurture
12637,4,2280.91,570.2275,1263,162,4,France,0,0.8786472651970236,2795.4976127977566,2456.256332349557,Very High,Non-UK,Protect loyalty
12638,1,249.8,249.8,86,9,265,Sweden,0,0.2655626875028166,607.8904696810405,161.43302683584656,Low,Non-UK,Low-cost nurture
12639,2,826.27,413.1350000000001,430,39,60,Sweden,0,0.6951371681864532,1422.0644634683642,988.5298641139868,High,Non-UK,Protect loyalty
12643,6,4960.18,826.6966666666667,2857,14,11,France,0,0.9103233806479244,7168.715183443537,6525.849040694426,Very High,Non-UK,Protect loyalty
12644,3,1440.58,480.1933333333333,707,76,56,Germany,0,0.7899890026268063,2012.8842298392872,1590.1564051339656,Very High,Non-UK,Protect loyalty
12645,4,1764.12,441.03,1041,72,35,Germany,0,0.8472042821907291,2414.4182155711296,2045.50545123116,Very High,Non-UK,Protect loyalty
12647,24,13232.73,551.36375,5202,212,11,Germany,0,0.9807291695104952,13444.332450886088,13185.248999180514,Very High,Non-UK,Protect loyalty
12648,3,793.95,264.65000000000003,358,32,63,Germany,0,0.7390385036957581,1330.369299085045,983.194136158586,High,Non-UK,Protect loyalty
12649,5,1671.14,334.228,1373,75,8,Germany,0,0.884915421145161,2347.527743178043,2077.363501504347,Very High,Non-UK,Protect loyalty
12651,3,263.75,87.91666666666667,187,21,4,France,0,0.7338329123396822,577.3834577491044,423.7029843367811,Medium,Non-UK,Grow customer value
12652,1,97.05,97.05,31,3,60,Germany,0,0.3883576716737474,355.86067940605614,138.2012248943739,Low,Non-UK,Low-cost nurture
12653,1,1950.98,1950.98,762,43,152,Israel,0,0.5561143809840731,3229.3178644204936,1795.8701051730116,Very High,Non-UK,Win back now
12655,1,261.35,261.35,80,16,49,France,0,0.4969904088327367,700.9864531138427,348.3835439192587,Medium,Non-UK,Low-cost nurture
12656,3,2356.66,785.5533333333333,1137,108,51,France,0,0.8200412907066257,2950.9760043335477,2419.9221714379632,Very High,Non-UK,Protect loyalty
12661,1,162.0,162.0,216,11,62,Sweden,0,0.4931277521339,493.56490937901015,243.39055429424332,Low,Non-UK,Low-cost nurture
12662,9,2876.76,319.64000000000004,1366,89,7,Germany,0,0.9317858273561443,3699.224146220244,3446.8846316616573,Very High,Non-UK,Protect loyalty
12663,2,239.4,119.7,181,9,250,Germany,0,0.390610770420687,506.394621346896,197.80319318120308,Low,Non-UK,Low-cost nurture
12664,2,1188.16,594.08,292,4,140,Finland,0,0.5761886289782963,2305.5645357118387,1328.4400688527865,High,Non-UK,Win back now
12665,2,250.6,125.3,128,13,43,Germany,0,0.6145024628961353,590.8500927609696,363.0788372040258,Medium,Non-UK,Low-cost nurture
